filename,width,height,class,xmin,ymin,xmax,ymax
test1_cronjob_2020-10-02_16-35-37_106.png,640,480,shrimp,457,141,640,320
test1_cronjob_2020-10-02_16-35-37_107.png,640,480,shrimp,427,104,588,312
test1_cronjob_2020-10-02_16-35-37_29.png,640,480,shrimp,11,253,174,436
test1_cronjob_2020-10-02_16-35-37_30.png,640,480,shrimp,1,216,207,434
test1_cronjob_2020-10-02_16-35-37_31.png,640,480,shrimp,3,172,215,409
test1_cronjob_2020-10-02_16-35-37_32.png,640,480,shrimp,1,174,227,351
test1_cronjob_2020-10-02_16-35-37_33.png,640,480,shrimp,1,142,259,373
test1_cronjob_2020-10-02_16-35-37_34.png,640,480,shrimp,9,107,300,324
test1_cronjob_2020-10-02_16-35-37_35.png,640,480,shrimp,34,116,315,307
test1_cronjob_2020-10-02_16-35-37_81.png,640,480,shrimp,519,89,613,229
test1_cronjob_2020-10-02_16-35-37_82.png,640,480,shrimp,532,117,609,249
test1_cronjob_2020-10-02_16-35-37_83.png,640,480,shrimp,535,172,608,263
test1_cronjob_2020-10-02_16-35-37_84.png,640,480,shrimp,536,189,608,277
test1_cronjob_2020-10-02_16-35-37_85.png,640,480,shrimp,548,214,590,274
test1_cronjob_2020-10-02_16-45-29_101.png,640,480,shrimp,112,65,449,314
test1_cronjob_2020-10-02_16-45-29_102.png,640,480,shrimp,56,40,439,278
test1_cronjob_2020-10-02_16-45-29_103.png,640,480,shrimp,36,1,354,184
test1_cronjob_2020-10-02_16-45-29_104.png,640,480,shrimp,97,1,296,137
test1_cronjob_2020-10-02_16-45-29_44.png,640,480,shrimp,1,224,57,348
test1_cronjob_2020-10-02_16-45-29_45.png,640,480,shrimp,1,227,59,343
test1_cronjob_2020-10-02_16-45-29_46.png,640,480,shrimp,1,182,75,350
test1_cronjob_2020-10-02_16-45-29_47.png,640,480,shrimp,1,140,132,324
test1_cronjob_2020-10-02_16-45-29_48.png,640,480,shrimp,27,125,170,257
test1_cronjob_2020-10-02_16-45-29_98.png,640,480,shrimp,185,279,530,456
test1_cronjob_2020-10-02_16-45-29_99.png,640,480,shrimp,142,226,518,418
test1_cronjob_2020-10-02_17-05-29_192.png,640,480,shrimp,245,275,318,470
test1_cronjob_2020-10-02_17-05-29_193.png,640,480,shrimp,231,154,306,325
test1_cronjob_2020-10-02_17-05-29_193.png,640,480,shrimp,484,68,640,277
test1_cronjob_2020-10-02_17-05-29_194.png,640,480,shrimp,434,26,640,272
test1_cronjob_2020-10-02_17-05-29_194.png,640,480,shrimp,215,42,281,194
test1_cronjob_2020-10-02_17-05-29_195.png,640,480,shrimp,198,3,278,134
test1_cronjob_2020-10-02_17-05-29_195.png,640,480,shrimp,407,12,613,238
test1_cronjob_2020-10-02_17-05-29_31.png,640,480,shrimp,1,114,82,213
test1_cronjob_2020-10-02_17-05-29_32.png,640,480,shrimp,1,70,136,222
test1_cronjob_2020-10-02_17-15-37_58.png,640,480,shrimp,1,294,136,461
test1_cronjob_2020-10-02_17-15-37_59.png,640,480,shrimp,1,325,97,475
test1_cronjob_2020-10-02_17-15-37_60.png,640,480,shrimp,23,356,136,475
test1_cronjob_2020-10-02_17-25-29_100.png,640,480,shrimp,1,253,148,420
test1_cronjob_2020-10-02_17-25-29_101.png,640,480,shrimp,1,207,158,388
test1_cronjob_2020-10-02_17-25-29_102.png,640,480,shrimp,1,200,170,378
test1_cronjob_2020-10-02_17-25-29_103.png,640,480,shrimp,15,181,184,339
test1_cronjob_2020-10-02_17-25-29_113.png,640,480,shrimp,230,1,640,433
test1_cronjob_2020-10-02_17-25-29_114.png,640,480,shrimp,331,74,623,399
test1_cronjob_2020-10-02_17-25-29_125.png,640,480,shrimp,396,209,597,411
test1_cronjob_2020-10-02_17-25-29_126.png,640,480,shrimp,408,144,621,468
test1_cronjob_2020-10-02_17-25-29_127.png,640,480,shrimp,401,129,622,429
test1_cronjob_2020-10-02_17-25-29_128.png,640,480,shrimp,351,68,569,321
test1_cronjob_2020-10-02_17-25-29_180.png,640,480,shrimp,579,208,640,356
test1_cronjob_2020-10-02_17-25-29_181.png,640,480,shrimp,463,105,640,393
test1_cronjob_2020-10-02_17-25-29_182.png,640,480,shrimp,466,33,607,294
test1_cronjob_2020-10-02_17-25-29_50.png,640,480,shrimp,144,450,218,480
test1_cronjob_2020-10-02_17-25-29_52.png,640,480,shrimp,176,386,284,477
test1_cronjob_2020-10-02_17-25-29_53.png,640,480,shrimp,200,364,330,470
test1_cronjob_2020-10-02_17-25-29_53.png,640,480,shrimp,1,179,51,243
test1_cronjob_2020-10-02_17-25-29_54.png,640,480,shrimp,1,99,131,274
test1_cronjob_2020-10-02_17-25-29_54.png,640,480,shrimp,275,416,349,480
test1_cronjob_2020-10-02_17-25-29_55.png,640,480,shrimp,1,11,253,273
test1_cronjob_2020-10-02_17-25-29_56.png,640,480,shrimp,1,20,303,313
test1_cronjob_2020-10-02_17-25-29_57.png,640,480,shrimp,27,1,353,246
test1_cronjob_2020-10-02_17-25-29_58.png,640,480,shrimp,101,1,377,205
test1_cronjob_2020-10-02_17-25-29_59.png,640,480,shrimp,176,1,416,152
test1_cronjob_2020-10-02_17-25-29_60.png,640,480,shrimp,207,31,352,137
test1_cronjob_2020-10-02_17-25-29_61.png,640,480,shrimp,274,24,383,118
test1_cronjob_2020-10-02_17-25-29_73.png,640,480,shrimp,220,159,633,480
test1_cronjob_2020-10-02_17-25-29_74.png,640,480,shrimp,261,145,632,477
test1_cronjob_2020-10-02_17-25-29_75.png,640,480,shrimp,343,107,640,415
test1_cronjob_2020-10-02_17-25-29_76.png,640,480,shrimp,391,81,640,360
test1_cronjob_2020-10-02_17-25-29_77.png,640,480,shrimp,424,44,638,275
test1_cronjob_2020-10-02_17-25-29_90.png,640,480,shrimp,107,227,324,480
test1_cronjob_2020-10-02_17-25-29_91.png,640,480,shrimp,113,168,256,412
test1_cronjob_2020-10-02_17-25-29_92.png,640,480,shrimp,106,115,314,460
test1_cronjob_2020-10-02_17-25-29_93.png,640,480,shrimp,80,56,237,327
test1_cronjob_2020-10-02_17-45-29_108.png,640,480,shrimp,524,252,640,377
test1_cronjob_2020-10-02_17-45-29_63.png,640,480,shrimp,1,10,244,303
